date,Time,Soil_moisture1,Soil_moisture2,Temp,Humidity,P,L,Data_index,coeff(K),assumed_temp,deviation_from_original(temp)
03-03-2021,16:00:00,1578,1374,25,84,389,98153,18,2100,16.95559524,8.044404762
03-03-2021,16:15:00,1577,1369,24,91,235,98157,19,2184,15.65131868,8.348681319
03-04-2021,10:45:00,1431,1239,27,91,653,98493,93,2457,15.65131868,11.34868132
03-04-2021,15:45:00,1465,1256,26,87,1199,98159,113,2262,16.37091954,9.62908046
03-05-2021,10:45:00,1346,1157,25,93,663,98447,189,2325,15.31473118,9.685268817
03-05-2021,11:00:00,1350,1166,26,94,1037,98435,190,2444,15.15180851,10.84819149
03-05-2021,11:15:00,1352,1177,27,90,810,98414,191,2430,15.82522222,11.17477778
03-05-2021,11:30:00,1357,1189,27,88,888,98402,192,2376,16.18488636,10.81511364
03-05-2021,11:45:00,1359,1198,28,86,919,98381,193,2408,16.56127907,11.43872093
03-05-2021,16:15:00,1372,1160,24,86,219,98100,211,2064,16.56127907,7.43872093
03-05-2021,16:30:00,1369,1155,23,95,131,98101,212,2185,14.99231579,8.007684211
03-06-2021,10:00:00,1246,1068,24,96,489,98295,282,2304,14.83614583,9.163854167
03-06-2021,10:15:00,1247,1070,25,92,571,98290,283,2300,15.48119565,9.518804348
03-06-2021,10:30:00,1248,1074,26,86,614,98297,284,2236,16.56127907,9.43872093
03-06-2021,16:00:00,1269,1081,25,86,336,97971,306,2150,16.56127907,8.43872093
03-07-2021,10:00:00,1160,1005,25,94,471,98319,378,2350,15.15180851,9.848191489
03-07-2021,10:15:00,1160,1010,26,93,524,98328,379,2418,15.31473118,10.68526882
03-07-2021,10:30:00,1162,1013,26,85,600,98315,380,2210,16.75611765,9.243882353
03-07-2021,10:45:00,1163,1016,26,86,574,98321,381,2236,16.56127907,9.43872093
03-07-2021,11:00:00,1163,1020,26,84,470,98310,382,2184,16.95559524,9.044404762
03-07-2021,11:15:00,1163,1020,25,94,512,98300,383,2350,15.15180851,9.848191489
03-07-2021,11:30:00,1163,1022,25,95,490,98276,384,2375,14.99231579,10.00768421
03-07-2021,11:45:00,1166,1022,25,91,455,98267,385,2275,15.65131868,9.348681319
03-07-2021,12:30:00,1167,1025,26,90,775,98244,388,2340,15.82522222,10.17477778
03-07-2021,12:45:00,1169,1025,26,90,609,98212,389,2340,15.82522222,10.17477778
03-07-2021,13:00:00,1169,1026,26,95,614,98193,390,2470,14.99231579,11.00768421
