date,Time,Soil_moisture1,Soil_moisture2,Temp,Humidity,P,L,Data_index
03-03-2021,16:00:00,1578,1374,25,84,389,98153,18
03-03-2021,16:15:00,1577,1369,24,91,235,98157,19
03-04-2021,10:45:00,1431,1239,27,91,653,98493,93
03-04-2021,15:45:00,1465,1256,26,87,1199,98159,113
03-05-2021,10:45:00,1346,1157,25,93,663,98447,189
03-05-2021,11:00:00,1350,1166,26,94,1037,98435,190
03-05-2021,11:15:00,1352,1177,27,90,810,98414,191
03-05-2021,11:30:00,1357,1189,27,88,888,98402,192
03-05-2021,11:45:00,1359,1198,28,86,919,98381,193
03-05-2021,16:15:00,1372,1160,24,86,219,98100,211
03-05-2021,16:30:00,1369,1155,23,95,131,98101,212
03-06-2021,10:00:00,1246,1068,24,96,489,98295,282
03-06-2021,10:15:00,1247,1070,25,92,571,98290,283
03-06-2021,10:30:00,1248,1074,26,86,614,98297,284
03-06-2021,16:00:00,1269,1081,25,86,336,97971,306
03-07-2021,10:00:00,1160,1005,25,94,471,98319,378
03-07-2021,10:15:00,1160,1010,26,93,524,98328,379
03-07-2021,10:30:00,1162,1013,26,85,600,98315,380
03-07-2021,10:45:00,1163,1016,26,86,574,98321,381
03-07-2021,11:00:00,1163,1020,26,84,470,98310,382
03-07-2021,11:15:00,1163,1020,25,94,512,98300,383
03-07-2021,11:30:00,1163,1022,25,95,490,98276,384
03-07-2021,11:45:00,1166,1022,25,91,455,98267,385
03-07-2021,12:30:00,1167,1025,26,90,775,98244,388
03-07-2021,12:45:00,1169,1025,26,90,609,98212,389
03-07-2021,13:00:00,1169,1026,26,95,614,98193,390
03-07-2021,13:15:00,1170,1026,28,91,958,98159,391
03-07-2021,15:15:00,1166,1018,27,93,554,98021,399
03-07-2021,16:00:00,1161,1010,24,94,213,98044,402
03-07-2021,17:00:00,1157,996,21,89,65,97932,406
03-07-2021,17:15:00,1155,992,21,83,31,97930,407
03-08-2021,09:45:00,1059,941,25,96,424,98425,473
03-08-2021,10:00:00,1059,944,26,92,495,98424,474
03-08-2021,10:15:00,1059,948,27,90,543,98442,475
03-08-2021,15:45:00,1069,965,28,90,589,98123,497
03-09-2021,10:30:00,963,892,28,95,671,98605,572
03-09-2021,10:45:00,964,897,28,87,716,98604,573
03-09-2021,15:45:00,976,911,30,95,460,98194,593
03-10-2021,12:15:00,886,868,30,95,1217,98396,675
03-10-2021,12:30:00,888,874,31,86,1409,98353,676
03-10-2021,12:45:00,890,877,31,87,1039,98324,677
03-10-2021,15:45:00,891,865,29,94,441,98157,689
03-11-2021,09:45:00,790,779,26,88,505,98645,761
03-11-2021,10:00:00,791,783,26,87,596,98646,762
03-11-2021,16:00:00,818,826,29,93,420,98277,786
03-12-2021,10:45:00,710,717,23,96,497,98870,861
03-12-2021,11:00:00,712,726,26,85,942,98855,862
03-12-2021,11:45:00,712,746,24,92,152,98812,865
3/13/2021,10:45,647,697,28,92,633,98932,957
3/13/2021,11:00,649,704,28,87,990,98928,958
3/13/2021,12:30,658,729,26,88,683,98786,964
3/13/2021,12:45,659,728,26,91,598,98752,965
3/13/2021,13:00,660,727,25,94,504,98728,966
3/13/2021,16:15,660,717,25,86,933,98523,979
3/14/2021,10:30,599,670,27,92,695,98561,1052
3/14/2021,16:15,620,706,25,88,563,98225,1075
3/14/2021,16:30,618,703,24,94,223,98221,1076
3/15/2021,10:00,564,645,26,89,608,98404,1146
3/15/2021,10:15,565,649,27,84,674,98406,1147
3/15/2021,15:45,581,693,27,85,724,98151,1169
3/15/2021,16:00,581,692,26,91,556,98144,1170
3/15/2021,16:15,579,690,25,97,326,98145,1171
3/16/2021,10:15,539,645,28,91,703,98510,1243
3/16/2021,10:30,540,649,28,86,764,98501,1244
3/16/2021,16:00,552,685,26,83,655,98178,1266
3/16/2021,16:15,551,683,25,91,366,98176,1267
3/17/2021,10:00,508,609,28,94,668,98373,1338
3/17/2021,10:15,509,613,29,87,727,98367,1339
3/17/2021,16:15,523,661,26,94,442,97997,1363
3/18/2021,09:45,494,598,28,94,642,98399,1433
3/18/2021,10:00,495,601,29,89,732,98383,1434
3/18/2021,16:30,511,646,27,83,276,98061,1460
3/19/2021,09:45,482,578,28,93,684,98405,1529
3/19/2021,16:15,499,623,27,83,498,97960,1555
3/19/2021,16:30,498,622,27,86,305,97961,1556
3/19/2021,16:45,498,621,26,88,218,97965,1557
3/20/2021,09:15,470,551,28,86,558,98234,1623
3/20/2021,17:00,488,600,25,85,158,97759,1654
3/20/2021,17:15,487,598,24,91,111,97749,1655
3/21/2021,16:45,474,562,22,84,205,97875,1749
3/21/2021,17:00,474,561,21,89,152,97847,1750
3/21/2021,17:15,474,559,21,91,142,97830,1751
3/22/2021,12:30,456,520,27,90,1216,98272,1828
3/22/2021,16:30,459,532,27,87,406,98147,1844
3/22/2021,16:45,459,532,26,84,277,98152,1845
3/23/2021,01:30,454,489,20,93,0,98092,1880
3/23/2021,13:00,437,489,25,94,878,98566,1926
3/23/2021,13:15,437,489,25,88,591,98519,1927
3/23/2021,13:30,437,489,24,89,427,98521,1928
3/24/2021,09:15,411,447,25,94,535,98744,2007
3/24/2021,09:30,411,450,26,89,572,98758,2008
3/24/2021,17:00,421,475,24,86,190,98357,2038
3/24/2021,17:15,420,474,23,92,138,98360,2039
